user_id,category,title,url,thumbnail_url,created_at,description,tags,memo,,
,AI>생산성 도구,,https://www.canva.com/,,,"디자인툴 Canva의 AI, 이미지 생성에 특화","design,graphic,프레젠","・ 디자인툴 Canva의 AI 도입으로더욱 다양한 디자인 만들기 가능
・ 이미지 생성에 특화된 모습으로,GPT 에서 할 수 없는 배경 삭제혹은 빈 곳 채우기가 가능
・ 신규 업데이트로 노코드 코딩 툴 공개,바이브 코딩이 가능
・ 차트를 입력하면 자동으로 값 수정,빈 칸의 값 채우기 가능",,
,AI>생산성 도구,,https://blog.google/technology/developers/introducing-gemini-cli-open-source-ai-agent/,,,"터미널에서 직접 실행 빌드, 테스트, 서버 실행 등
개발 자동화","blog,ai","・ 시스템 직접 제어로 파일 생성, 검색, 수정까지 가능, 강력한 실행 능력
・ 터미널에서 직접 실행이 가능하여,기존 개발 환경과 완벽하게 통합 가능
・ 터미널에서 사용하는 명령어를 직접 실행하여 빌드, 테스트, 서버 실행 등 개발 자동화 가능
・ 가장 최신 google gemini 로 뛰어난 코드 생성 능력",,
,AI>생산성 도구,,https://blog.google/technology/google-labs/notebooklm-featured-notebooks/,,,Try featured notebooks on selected topics in NotebookLM,"blog,ai",,,
,미디어>AI,Taskmaster AI,https://www.youtube.com/watch?v=ktr-4JjDsU0&t=39s,,,나만의 프로젝트 PM,"youtube,nomad","・ 일반적으로 AI한테 작업을 시킬 때필요 없는 코드를 건드리는 등원하는 대로 동작하지 않는 경우가 많음
・ Taskmaster AI는 AI가 무엇을,어떻게 해야 하는지 정확히 알 수 있도록확실하게 지시
・ 나만의 프로젝트 PM 역할로프로젝트를 작은 작업 단위로 쪼개고,우선순위를 정해 줌
・ 진행 상황도 쉽게 추적할 수 있고,다음에 뭘 해야 할지 바로바로 알 수 있도록 작업을 도와줌",,
,미디어>AI,Context 7,https://www.youtube.com/watch?v=ktr-4JjDsU0&t=39s,,,가장 최신 문서를 가져와서 프롬프트에,"youtube,nomad","・ AI를 사용하다 보면 존재하지 않는API를 사용하려고 하거나,예전 버젼을 사용하려고 할 때가 있음.
・ context 7은 가장 최신 문서를 가져와서프롬프트에 넣어주는 것으로 이 문제를 해결할 수 있게 도와줌
・ 10,000개 이상의 패키지 문서를 학습하고 있어, 정확도가 매우 높음",,
,미디어>AI,,https://www.youtube.com/watch?v=szUo30BOZlo&t=282s,,,"Figma 파일을 생성, 삭제","youtube,nomad","・ Figma 파일을 생성, 삭제하는 도구 제공
・ 피그마로 만들어진 파일을 바로 구현하도록 명령이 가능
・ Tailwind CSS 사용하라는 지시도 가능
・ 퀄리티가 높아서 바로 활용 가능",,
,미디어>음악,,https://www.youtube.com/@ClassicZomListen,,,클래식 플레이리스트 만들어 올리는 채널,classic,,,
,미디어>생활,,https://www.youtube.com/@oneroommake,,,"자취생이라면 원룸만들기!
더 품격있는 자취생활을 위한 원룸만들기의 공식 유튜브 채널입니다",room,,,
,프로젝트>마케팅사례,금강사수세미,https://www.youtube.com/shorts/OK6ijUKMcoU?reload=9&si=9VTOZHFFsm-kaR_x,,,,youtube,,,
,프로젝트>마케팅사례,,https://www.youtube.com/shorts/ibo_Dk1TvXg,,,,youtube,,,
,프로젝트>마케팅사례,,https://playbook.samaltman.com/,,,,startup,"・ 스타트업을 시작하는 창업자들에게 핵심적인 조언을 제공하는 가이드
・ 마케팅도 제품의 강점을 극대화 하는방향으로 진행
・ 마케팅에서도 초기 사용자 확보와 입소문을 통한 확산이 핵심이 될 수 있음
・ 특정 타겟 시장에 집중하고 강력한 메시지를 전달하는 것이 효과적",,
,프로젝트>마케팅사례,,https://andrewchen.com/breaking-down-671-million-push-notifications-by-hour/,,,,"timeline,push","・ 앤드류 첸 - 푸시 알림의 시간대별 효과
・ 푸시 알림의 타이밍이사용자 참여율을 크게 좌우
・ 사용자의 활동 패턴을 고려한 맞춤형 메시지가 효과적
・ 짧고 간결한 콘텐츠가 저녁 시간대에 효과적입니다.",,
,프로젝트>마케팅사례,,https://www.instagram.com/smallbrander/,,,작은 브랜드를 발견하고 그들의 성장을 돕습니다.,brand,,,
,프로젝트>마케팅사례,,https://velog.io/,,,,blog,"개발자 velopert가 1인 개발로 제작한 플랫폼으로 원래 워드프레스로 블로그 운영을 하다가 개발자로서 불편했던 점들을 개선해서 아예 새로 블로그 플랫폼을 개발해야겠다고 생각하여 만들었다고 하며 # 국내의 많은 사용자들을 보유하고 있고 개발자 생태계가 구축되어 있어 올라오는 정보들의 질이 좋은 편이다.
서비스의 코드가 개발자 Github에 오픈[2]되어 있어, 서비스를 어떻게 운영하는지 직접 볼 수 있다.
개발자 생태계가 갖춰져 좋은 개발 정보들이 올라온다",,
,프로젝트>마케팅사례,,https://www.nicetomeetme.kr/,,,나답게 성장하는 사람들이 만들어가는 안전한 커뮤니티,community,,,
